,id,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend
34615,6980930878021192987,2021-07-04 04:57:13,349.2577383565,10,Do Like That,631500,220900,195,2,2377,1,2744.0,256.5,715.0
34678,6984657147845938459,2021-07-14 05:57:01,275.4194168866,20,,135200,7586,558,4,6048,26,1148.0,142.0,169.0
34703,6990644385079725339,2021-07-30 09:10:32,302.517413912,9,River,253600,104500,31,0,372,0,37400.0,1286.0,1010.0
34736,6982800799910972698,2021-07-09 05:53:26,15.3088934606,38,Permission to Dance,143800,4058,21400,197,110300,789,6703.0,589.0,779.0
34898,6992052806412782853,2021-08-03 04:15:58,319.4167857407,15,The Magic Bomb (Questions I Get Asked) [Extended Mix],13500,646,12,0,105,0,35050.0,2030.0,568.01
34947,7002307655184207110,2021-08-30 19:29:59,229.9160176157,19,,20300,2654,49,2,515,0,716.5,80.0,1082.02
34961,7067608338930093358,2022-02-22 18:50:00,73.0650919329,9,Level Up,2500000,195600,1062,6,12500,10,14200.0,1168.0,262.02
34971,7006280478735011098,2021-09-10 12:26:34,253.5170602778,29,HELICOPTER,381500,11300,1220,7,19600,6,10200.0,1220.0,1862.01
34976,6998848840438746394,2021-08-21 11:48:01,282.7969153704,13,,33500000,1600000,3269,28,50800,63,1783.0,108.0,1474.01
34990,7036314091123772698,2021-11-30 10:52:19,136.7807112963,41,Forever Young,406900,3797,9463,16,65000,107,65000.0,9429.0,1359.02
35009,7023859556048571653,2021-10-27 21:22:23,191.4927933102,11,"Spooky, Scary Skeletons",4100000,203700,273,1,3216,12,10886.5,716.5,1210.02
35031,7064614123463625990,2022-02-14 17:10:55,62.8963481944,21,I Need U,847700,14400,23800,161,120000,140,57450.0,10395.0,895.02
35060,7043160366217547013,2021-12-18 21:39:22,161.0115729167,30,All I Want for Christmas Is You,192500,11100,14,0,295,0,25150.0,1091.0,1770.01
35081,7023448189223062789,2021-10-26 18:46:03,200.4202789699,11,BOOM,1200000,149200,256,2,3236,4,5294.0,256.0,6.542955494212898e+181
35099,7047121761313295622,2021-12-29 13:51:37,135.4580173495,9,,547400,35600,384,11,4180,15,21900.0,1336.0,11.01
35148,7046008324885712133,2021-12-26 13:50:55,148.8608940509,8,,22400000,594500,4859,9,51700,31,18750.0,1666.0,358.01
35155,7042586046818782466,2021-12-17 08:30:43,121.4949631366,19,Fergalicious,1600000,77500,2249,2,39100,13,37700.0,3261.0,798.01
35162,7050086870277000474,2022-01-06 13:37:44,120.3144052546,48,Burning Up (Fire),701300,54300,1011,18,11100,6,8496.5,777.5,315.02
35169,7070922892044815622,2022-03-03 17:12:09,72.5135133449,15,Boy With Luv,4300000,172700,469,3,3917,7,5640.0,469.0,1338.03
35171,7051918872621960494,2022-01-11 12:06:53,95.2366783565,12,,29600,14400,98,0,889,0,889.0,98.0,467.01
35176,7067397084537752834,2022-02-22 05:10:14,51.6646413426,39,16 Shots,36000,1478,1268,37,17300,9,21000.0,2146.0,611.04
35185,7058616854796946693,2022-01-29 13:18:27,105.6113355556,21,,153100,59100,56,0,1337,3,1337.0,63.0,1683.01
35190,7084650293312654638,2022-04-09 17:01:29,9.7029959606,11,,156100,18300,195,2,2507,64,19600.0,1370.0,187.01
35198,7070687042895760667,2022-03-03 01:56:56,82.5999979167,14,,112200,27400,9,0,15,0,558.5,108.5,461.01
35207,7102056782792641819,2022-05-26 14:47:32,18.6683311574,9,Marry Me (feat. Toya Wright),10200000,47600,412,0,12800,3,12700.0,412.0,1604.01
35210,7092815320137682222,2022-05-01 17:05:57,13.0905179282,6,,7300000,421900,1441,2,13000,18,13000.0,1441.0,657.01
35217,7079919841699908910,2022-03-27 23:04:54,19.1675084144,8,Magic In The Hamptons,386900,22200,4636,46,92400,35,48100.0,1908.0,387.01
35221,7085542320610741546,2022-04-12 02:42:59,25.2266887269,15,,3400000,192800,3160,59,36700,25,3922.5,200.5,987.01
35239,7092363471781661958,2022-04-30 11:52:34,94.0290443981,13,,175400000,7300000,397800,162,2700000,895,255800.0,47600.0,56.02
