,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend,id,novel,entertaining,learn,skill,recognise,repetition,comment,delete,not_sure,novel_1,entertaining_1,learn_1,skill_1,recognise_1,repetition_1,comment_1,creativity,complexity,memorability,creativity_1,complexity_1,memorability_1
6123,2020-02-14 14:54:49,4.520.329.074.074,15,Myself,92600000,6600000,2343,46,33700,32,9759.0,469.0,828.0,6793315759142620421,3,3,2,2,3,1,,,,2,3,3,4,3,1,,6,4,4,6,7,4
6132,2020-02-14 20:00:27,8.136.661.311.227,10,What the Hell,10400000,758100,27600,50,148100,102,151850.0,24550.0,1231.0,6793394536702823686,2,3,2,2,2,1,,,,1,2,2,1,1,0,,5,4,3,4,3,1
6149,2020-02-20 19:41:34,2.325.795.891.435,15,TOES,67400000,6900000,211600,630,1500000,1168,816350.0,112000.0,935.01,6795616195434286080,3,3,4,3,3,1,,,,3,3,4,3,3,1,minimal repetition,6,7,4,7,7,4
6154,2020-02-21 05:12:42,4.470.706.682.407,14,,55600000,1800000,341100,5400,1700000,1723,61000.0,11250.0,399.0,6795763365785373958,4,3,5,4,4,1,,,,3,3,3,3,2,1,,7,9,5,6,6,3
6186,2020-04-15 02:29:29,3.934.413.434.028,9,,185500,32700,16,0,20,0,334.5,42.0,1287.0,6815759902242295042,2,3,3,2,3,1,,,,1,2,2,2,3,1,,5,5,4,4,4,4
6203,2020-05-08 22:39:50,425.586.840.706,12,,7757,685,3,0,135,0,12300.0,293.0,1196.0,6824606774029520134,3,5,2,1,1,1,,,,2,1,2,2,2,1,,8,3,2,3,4,3
6231,2020-02-23 17:22:41,8.912.091.308.102,15,,220300000,5300000,226100,1009,1100000,14900,267650.0,54500.0,436.0,6796693657597562118,3,3,4,4,3,1,,,,2,2,3,2,1,1,minimal repetition,6,8,4,5,5,2
6309,2020-11-29 03:58:18,1.672.939.619.329,32,마지막처럼,1300000,93600,8659,120,48400,207,26100.0,3177.0,319.0,6900390214397611265,2,4,4,3,3,1,,,,3,2,4,3,2,1,,6,7,4,6,7,3
6339,2020-06-19 04:41:03,6.884.521.487.269,14,,301200,11700,403,0,3460,38,12850.0,1314.0,1157.0,6839914344541719809,2,4,3,4,3,1,,,,1,1,2,1,1,0,,6,7,4,3,3,1
6342,2020-04-12 08:50:37,1.733.422.328.472,14,,23500000,1700000,434500,1166,5800000,3779,71000.0,9760.0,1276.0,6814744871266470912,2,1,3,2,1,1,,,,2,2,2,2,1,1,,3,5,2,4,4,2
6361,2020-05-15 09:23:18,3.612.628.673.958,14,,46000000,2100000,1500000,15000,23200000,4272,27200.0,3111.5,248.0,6826999101192801538,2,3,1,1,3,1,,,,2,2,3,2,1,1,,5,2,4,5,5,2
6404,2020-03-04 05:03:32,7.952.856.330.556,14,,165600,26700,131,0,1131,2,37700.0,4068.0,770.0,6800214026228993281,5,2,1,1,4,1,,,,1,1,2,1,1,1,,7,2,5,3,3,2
6417,2020-02-25 03:48:46,8.021.443.618.056,15,,839800,33900,20600,17,163300,95,171500.0,28600.0,17.0,6797226075903626497,4,4,4,4,4,0,Beraly ratable: you can tell that the movements were right on the beat but the way the data was extracted deters it a little,,,3,4,3,4,2,1,,8,8,4,7,7,3
6522,2020-03-22 05:05:33,7.913.363.951.736,14,,417400,22700,154,0,1349,3,11300.0,983.0,879.0,6806894082477149441,3,3,2,2,4,1,,,,2,2,3,3,1,1,,6,4,5,5,6,2
6562,2020-03-26 18:13:32,793.024.093.588,10,,116600,9510,185,5,4846,4,26200.0,1548.5,1346.0,6808581491598101766,2,2,3,2,3,1,,,,3,3,2,3,3,1,,4,5,4,5,5,4
6581,2020-03-04 12:50:44,8.612.839.621.412,14,,128100,3850,99,0,977,6,10261.5,873.5,1046.0,6800334424593452289,3,3,2,2,2,1,,,,1,1,2,2,1,1,,6,4,3,3,4,2
